App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6118184,HDR,08/22/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117742,HDR,08/17/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115376,HDR,07/22/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6110367,HDR,05/14/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114420,HDR,07/11/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6114050,HDR,07/07/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115843,HDR,07/27/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117241,HDR,08/11/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6115717,HDR,07/25/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6117110,HDR,08/10/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117673,HDR,08/16/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117575,HDR,08/15/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117318,HDR,08/12/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6116133,HDR,07/30/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,08/25/2025 11:00:00 PM
6116793,HDR,08/06/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6118348,HDR,08/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6114125,HDR,07/08/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6117316,HDR,08/12/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,08/25/2025 11:00:00 PM
6116989,HDR,08/08/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/25/2025 11:00:00 PM
6116340,HDR,08/01/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
6117666,HDR,08/16/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/25/2025 11:00:00 PM
